common_name,breeding_verified,breeding_indirect,transient,winter_verified,winter_present,aab_url,order_desc,order,family,genus,species,similar_species
Boreal Owl,true,false,false,true,false,http://www.allaboutbirds.org/guide/boreal_owl/id,Owls,STRIGIFORMES,STRIGIDAE,Aegolius,funereus,""
Northern Saw-whet Owl,true,false,false,true,false,http://www.allaboutbirds.org/guide/northern_sawwhet_owl/id,Owls,STRIGIFORMES,STRIGIDAE,Aegolius,acadicus,"Boreal Owl, Eastern Screech-Owl, Western Screech-Owl, Barred Owl"
Common Nighthawk,true,false,false,false,false,http://www.allaboutbirds.org/guide/common_nighthawk/id,Nightjars,CAPRIMULGIFORMES,CAPRIMULGIDAE,Chordeiles,minor,"Eastern Whip-poor-will, Chuck-will's-widow"
Common Poorwill,true,false,false,false,false,http://www.allaboutbirds.org/guide/common_poorwill/id,Nightjars,CAPRIMULGIFORMES,CAPRIMULGIDAE,Phalaenoptilus,nuttallii,""
Whip-poor-will sp.,false,false,true,false,false,http://www.allaboutbirds.org/guide/whippoorwill_sp/id,,,,,,""
Black Swift,true,false,false,false,false,http://www.allaboutbirds.org/guide/black_swift/id,,,,,,""
Chimney Swift,true,false,false,false,false,http://www.allaboutbirds.org/guide/chimney_swift/id,Swifts and Hummingbirds,APODIFORMES,APODIDAE,Chaetura,pelagica,""
Vaux’s Swift,true,false,false,false,false,http://www.allaboutbirds.org/guide/vauxs_swift/id,Swifts and Hummingbirds,APODIFORMES,APODIDAE,Chaetura,vauxi,""
White-throated Swift,true,false,false,false,false,http://www.allaboutbirds.org/guide/whitethroated_swift/id,Swifts and Hummingbirds,APODIFORMES,APODIDAE,Aeronautes,saxatalis,""
Ruby-throated Hummingbird,true,false,false,false,false,http://www.allaboutbirds.org/guide/rubythroated_hummingbird/id,Swifts and Hummingbirds,APODIFORMES,TROCHILIDAE,Archilochus,colubris,"Anna's Hummingbird, Black-chinned Hummingbird, Broad-tailed Hummingbird, Calliope Hummingbird, Rufous Hummingbird, Costa's Hummingbird"
Black-chinned Hummingbird,true,false,false,false,false,http://www.allaboutbirds.org/guide/blackchinned_hummingbird/id,Swifts and Hummingbirds,APODIFORMES,TROCHILIDAE,Archilochus,alexandri,"Anna's Hummingbird, Broad-tailed Hummingbird, Calliope Hummingbird, Rufous Hummingbird, Ruby-throated Hummingbird, Costa's Hummingbird"
Anna’s Hummingbird,false,false,true,true,false,http://www.allaboutbirds.org/guide/annas_hummingbird/id,Swifts and Hummingbirds,APODIFORMES,TROCHILIDAE,Calypte,anna,"Costa's Hummingbird, Black-chinned Hummingbird, Broad-tailed Hummingbird, Rufous Hummingbird"
Costa’s Hummingbird,false,false,true,false,false,http://www.allaboutbirds.org/guide/costas_hummingbird/id,Swifts and Hummingbirds,APODIFORMES,TROCHILIDAE,Calypte,costae,""
Calliope Hummingbird,true,false,false,false,false,http://www.allaboutbirds.org/guide/calliope_hummingbird/id,Swifts and Hummingbirds,APODIFORMES,TROCHILIDAE,Selasphorus,calliope,""
Broad-tailed Hummingbird,true,false,false,false,false,http://www.allaboutbirds.org/guide/broadtailed_hummingbird/id,Swifts and Hummingbirds,APODIFORMES,TROCHILIDAE,Selasphorus,platycercus,"Rufous Hummingbird, Ruby-throated Hummingbird"
Rufous Hummingbird,true,false,false,false,false,http://www.allaboutbirds.org/guide/rufous_hummingbird/id,Swifts and Hummingbirds,APODIFORMES,TROCHILIDAE,Selasphorus,rufus,"Allen's Hummingbird, Broad-tailed Hummingbird, Ruby-throated Hummingbird"
Belted Kingfisher,true,false,false,true,false,http://www.allaboutbirds.org/guide/belted_kingfisher/id,Kingfishers and Allies,CORACIIFORMES,ALCEDINIDAE,Megaceryle,alcyon,Blue Jay
Lewis’s Woodpecker,true,false,false,true,false,http://www.allaboutbirds.org/guide/lewiss_woodpecker/id,Woodpeckers,PICIFORMES,PICIDAE,Melanerpes,lewis,""
