common_name,winter_verified,winter_unverified,breeding_verified,breeding_indirect,transient,slug,aab_url,elcode,field_guide_url,order_desc,order,family_desc,family,genus,species,similar_species,num_observations,accidental,major_group
Thayer's Gull,X,"","","",X,thayers_gull,http://www.allaboutbirds.org/guide/thayers_gull/id,ABNNM03130,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNM03130,"Plovers, Sandpipers, and Allies",Charadriiformes,Gulls / Terns,Laridae,Larus,Thayeri,"",95,"",Water birds
Laughing Gull,"","","","",X,laughing_gull,http://www.allaboutbirds.org/guide/laughing_gull/id,ABNNM03010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNM03010,"Plovers, Sandpipers, and Allies",Charadriiformes,Gulls / Terns,Laridae,Leucophaeus,Atricilla,"Franklin's Gull, Bonaparte's Gull, Ring-billed Gull, Lesser Black-backed Gull",2,X,Water birds
Franklin's Gull,"","",X,"","",franklins_gull,http://www.allaboutbirds.org/guide/franklins_gull/id,ABNNM03020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNM03020,"Plovers, Sandpipers, and Allies",Charadriiformes,Gulls / Terns,Laridae,Leucophaeus,Pipixcan,"",1082,"",Water birds
Ross's Gull,"","","","",X,rosss_gull,http://www.allaboutbirds.org/guide/rosss_gull/id,ABNNM05010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNM05010,"Plovers, Sandpipers, and Allies",Charadriiformes,Gulls / Terns,Laridae,Rhodostethia,Rosea,"",1,X,Water birds
Black-legged Kittiwake,"",X,"","",X,black-legged_kittiwake,http://www.allaboutbirds.org/guide/black-legged_kittiwake/id,ABNNM04010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNM04010,"Plovers, Sandpipers, and Allies",Charadriiformes,Gulls / Terns,Laridae,Rissa,Tridactyla,"",5,X,Water birds
Forster's Tern,"","",X,"","",forsters_tern,http://www.allaboutbirds.org/guide/forsters_tern/id,ABNNM08090,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNM08090,"Plovers, Sandpipers, and Allies",Charadriiformes,Gulls / Terns,Laridae,Sterna,Forsteri,"",404,"",Water birds
Common Tern,"","",X,"","",common_tern,http://www.allaboutbirds.org/guide/common_tern/id,ABNNM08070,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNM08070,"Plovers, Sandpipers, and Allies",Charadriiformes,Gulls / Terns,Laridae,Sterna,Hirundo,"Arctic Tern, Forster's Tern",464,"",Water birds
Arctic Tern,"","",X,"","",arctic_tern,http://www.allaboutbirds.org/guide/arctic_tern/id,ABNNM08080,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNM08080,"Plovers, Sandpipers, and Allies",Charadriiformes,Gulls / Terns,Laridae,Sterna,Paradisaea,"",9,X,Water birds
Least Tern,"","",X,"","",least_tern,http://www.allaboutbirds.org/guide/least_tern/id,ABNNM08100,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNM08100,"Plovers, Sandpipers, and Allies",Charadriiformes,Gulls / Terns,Laridae,Sternula,Antillarum,"",440,"",Water birds
Sabine's Gull,"","","","",X,sabines_gull,http://www.allaboutbirds.org/guide/sabines_gull/id,ABNNM06010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNM06010,"Plovers, Sandpipers, and Allies",Charadriiformes,Gulls / Terns,Laridae,Xema,Sabini,"",58,"",Water birds
Ancient Murrelet,"",X,"","",X,ancient_murrelet,http://www.allaboutbirds.org/guide/ancient_murrelet/id,ABNNN07030,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNN07030,"Plovers, Sandpipers, and Allies",Charadriiformes,Murrelets,Alcidae,Synthliboramphus,Antiquus,"",11,X,Water birds
Piping Plover,"","",X,"","",piping_plover,http://www.allaboutbirds.org/guide/piping_plover/id,ABNNB03070,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNB03070,"Plovers, Sandpipers, and Allies",Charadriiformes,Plovers,Charadriidae,Charadrius,Melodus,"",1223,"",Water birds
Mountain Plover,"","",X,"","",mountain_plover,http://www.allaboutbirds.org/guide/mountain_plover/id,ABNNB03100,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNB03100,"Plovers, Sandpipers, and Allies",Charadriiformes,Plovers,Charadriidae,Charadrius,Montanus,"",3795,"",Water birds
Snowy Plover,"","","",X,"",snowy_plover,http://www.allaboutbirds.org/guide/snowy_plover/id,ABNNB03031,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNB03031,"Plovers, Sandpipers, and Allies",Charadriiformes,Plovers,Charadriidae,Charadrius,Nivosus,"",9,X,Water birds
Semipalmated Plover,"","","","",X,semipalmated_plover,http://www.allaboutbirds.org/guide/semipalmated_plover/id,ABNNB03060,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNB03060,"Plovers, Sandpipers, and Allies",Charadriiformes,Plovers,Charadriidae,Charadrius,Semipalmatus,"",310,"",Water birds
Killdeer,X,"",X,"","",killdeer,http://www.allaboutbirds.org/guide/killdeer/id,ABNNB03090,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNB03090,"Plovers, Sandpipers, and Allies",Charadriiformes,Plovers,Charadriidae,Charadrius,Vociferus,"Semipalmated Plover, Snowy Plover, Ruddy Turnstone, Piping Plover",7956,"",Water birds
American Golden-Plover,"","","","",X,american_golden-plover,http://www.allaboutbirds.org/guide/american_golden-plover/id,ABNNB02030,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNB02030,"Plovers, Sandpipers, and Allies",Charadriiformes,Plovers,Charadriidae,Pluvialis,Dominica,"",103,"",Water birds
Black-bellied Plover,"","","","",X,black-bellied_plover,http://www.allaboutbirds.org/guide/black-bellied_plover/id,ABNNB02010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNB02010,"Plovers, Sandpipers, and Allies",Charadriiformes,Plovers,Charadriidae,Pluvialis,Squatarola,American Golden-Plover,269,"",Water birds
Spotted Sandpiper,"",X,X,"","",spotted_sandpiper,http://www.allaboutbirds.org/guide/spotted_sandpiper/id,ABNNF04020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNF04020,"Plovers, Sandpipers, and Allies",Charadriiformes,Sandpipers,Scolopacidae,Actitis,Macularius,"Solitary Sandpiper, Lesser Yellowlegs",3967,"",Water birds
Ruddy Turnstone,"","","","",X,ruddy_turnstone,http://www.allaboutbirds.org/guide/ruddy_turnstone/id,ABNNF09010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNF09010,"Plovers, Sandpipers, and Allies",Charadriiformes,Sandpipers,Scolopacidae,Arenaria,Interpres,"",55,"",Water birds
Black Turnstone,"","","","",X,black_turnstone,http://www.allaboutbirds.org/guide/black_turnstone/id,ABNNF09020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNF09020,"Plovers, Sandpipers, and Allies",Charadriiformes,Sandpipers,Scolopacidae,Arenaria,Melanocephala,Ruddy Turnstone,1,X,Water birds
Upland Sandpiper,"","",X,"","",upland_sandpiper,http://www.allaboutbirds.org/guide/upland_sandpiper/id,ABNNF06010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNF06010,"Plovers, Sandpipers, and Allies",Charadriiformes,Sandpipers,Scolopacidae,Bartramia,Longicauda,"",2214,"",Water birds
Sanderling,"","","","",X,sanderling,http://www.allaboutbirds.org/guide/sanderling/id,ABNNF11030,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNF11030,"Plovers, Sandpipers, and Allies",Charadriiformes,Sandpipers,Scolopacidae,Calidris,Alba,"Semipalmated Sandpiper, Dunlin, White-rumped Sandpiper",269,"",Water birds
Dunlin,X,"","","",X,dunlin,http://www.allaboutbirds.org/guide/dunlin/id,ABNNF11170,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNF11170,"Plovers, Sandpipers, and Allies",Charadriiformes,Sandpipers,Scolopacidae,Calidris,Alpina,"",122,"",Water birds
Baird's Sandpiper,"","","","",X,bairds_sandpiper,http://www.allaboutbirds.org/guide/bairds_sandpiper/id,ABNNF11120,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNF11120,"Plovers, Sandpipers, and Allies",Charadriiformes,Sandpipers,Scolopacidae,Calidris,Bairdii,"",508,"",Water birds
Red Knot,"","","","",X,red_knot,http://www.allaboutbirds.org/guide/red_knot/id,ABNNF11020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNF11020,"Plovers, Sandpipers, and Allies",Charadriiformes,Sandpipers,Scolopacidae,Calidris,Canutus,"",50,"",Water birds
White-rumped Sandpiper,"","","","",X,white-rumped_sandpiper,http://www.allaboutbirds.org/guide/white-rumped_sandpiper/id,ABNNF11110,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNF11110,"Plovers, Sandpipers, and Allies",Charadriiformes,Sandpipers,Scolopacidae,Calidris,Fuscicollis,"",70,"",Water birds
Stilt Sandpiper,"","","","",X,stilt_sandpiper,http://www.allaboutbirds.org/guide/stilt_sandpiper/id,ABNNF11190,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNF11190,"Plovers, Sandpipers, and Allies",Charadriiformes,Sandpipers,Scolopacidae,Calidris,Himantopus,"",238,"",Water birds
Western Sandpiper,"","","","",X,western_sandpiper,http://www.allaboutbirds.org/guide/western_sandpiper/id,ABNNF11050,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNF11050,"Plovers, Sandpipers, and Allies",Charadriiformes,Sandpipers,Scolopacidae,Calidris,Mauri,"",212,"",Water birds
Pectoral Sandpiper,"","","","",X,pectoral_sandpiper,http://www.allaboutbirds.org/guide/pectoral_sandpiper/id,ABNNF11130,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNF11130,"Plovers, Sandpipers, and Allies",Charadriiformes,Sandpipers,Scolopacidae,Calidris,Melanotos,"",286,"",Water birds
Least Sandpiper,"","","","",X,least_sandpiper,http://www.allaboutbirds.org/guide/least_sandpiper/id,ABNNF11100,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNF11100,"Plovers, Sandpipers, and Allies",Charadriiformes,Sandpipers,Scolopacidae,Calidris,Minutilla,"",342,"",Water birds
Semipalmated Sandpiper,"","","","",X,semipalmated_sandpiper,http://www.allaboutbirds.org/guide/semipalmated_sandpiper/id,ABNNF11040,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNF11040,"Plovers, Sandpipers, and Allies",Charadriiformes,Sandpipers,Scolopacidae,Calidris,Pusilla,"",341,"",Water birds
Buff-breasted Sandpiper,"","","","",X,buff-breasted_sandpiper,http://www.allaboutbirds.org/guide/buff-breasted_sandpiper/id,ABNNF14010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNF14010,"Plovers, Sandpipers, and Allies",Charadriiformes,Sandpipers,Scolopacidae,Calidris,Subruficollis,"",24,"",Water birds
Wilson's Snipe,X,"",X,"","",wilsons_snipe,http://www.allaboutbirds.org/guide/wilsons_snipe/id,ABNNF18030,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNF18030,"Plovers, Sandpipers, and Allies",Charadriiformes,Sandpipers,Scolopacidae,Gallinago,Delicata,"American Woodcock, Short-billed Dowitcher",5432,"",Water birds
Short-billed Dowitcher,"","","","",X,short-billed_dowitcher,http://www.allaboutbirds.org/guide/short-billed_dowitcher/id,ABNNF16010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNF16010,"Plovers, Sandpipers, and Allies",Charadriiformes,Sandpipers,Scolopacidae,Limnodromus,Griseus,"",92,"",Water birds
Long-billed Dowitcher,"","","","",X,long-billed_dowitcher,http://www.allaboutbirds.org/guide/long-billed_dowitcher/id,ABNNF16020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNF16020,"Plovers, Sandpipers, and Allies",Charadriiformes,Sandpipers,Scolopacidae,Limnodromus,Scolopaceus,"",577,"",Water birds
Marbled Godwit,"","",X,"","",marbled_godwit,http://www.allaboutbirds.org/guide/marbled_godwit/id,ABNNF08040,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNF08040,"Plovers, Sandpipers, and Allies",Charadriiformes,Sandpipers,Scolopacidae,Limosa,Fedoa,"",2609,"",Water birds
Hudsonian Godwit,"","","","",X,hudsonian_godwit,http://www.allaboutbirds.org/guide/hudsonian_godwit/id,ABNNF08020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNF08020,"Plovers, Sandpipers, and Allies",Charadriiformes,Sandpipers,Scolopacidae,Limosa,Haemastica,"",36,"",Water birds
Long-billed Curlew,"","",X,"","",long-billed_curlew,http://www.allaboutbirds.org/guide/long-billed_curlew/id,ABNNF07070,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNF07070,"Plovers, Sandpipers, and Allies",Charadriiformes,Sandpipers,Scolopacidae,Numenius,Americanus,"",4044,"",Water birds
Whimbrel,"","","","",X,whimbrel,http://www.allaboutbirds.org/guide/whimbrel/id,ABNNF07020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNF07020,"Plovers, Sandpipers, and Allies",Charadriiformes,Sandpipers,Scolopacidae,Numenius,Phaeopus,"",78,"",Water birds
Wilson's Phalarope,"","",X,"","",wilsons_phalarope,http://www.allaboutbirds.org/guide/wilsons_phalarope/id,ABNNF20010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNF20010,"Plovers, Sandpipers, and Allies",Charadriiformes,Sandpipers,Scolopacidae,Phalaropus,Tricolor,"",2221,"",Water birds
American Woodcock,"",X,"","",X,american_woodcock,http://www.allaboutbirds.org/guide/american_woodcock/id,ABNNF19020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNF19020,"Plovers, Sandpipers, and Allies",Charadriiformes,Sandpipers,Scolopacidae,Scolopax,Minor,"Wilson's Snipe, Killdeer",4,X,Water birds
Lesser Yellowlegs,"","","","",X,lesser_yellowlegs,http://www.allaboutbirds.org/guide/lesser_yellowlegs/id,ABNNF01030,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNF01030,"Plovers, Sandpipers, and Allies",Charadriiformes,Sandpipers,Scolopacidae,Tringa,Flavipes,"",752,"",Water birds
Greater Yellowlegs,"",X,"","",X,greater_yellowlegs,http://www.allaboutbirds.org/guide/greater_yellowlegs/id,ABNNF01020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNF01020,"Plovers, Sandpipers, and Allies",Charadriiformes,Sandpipers,Scolopacidae,Tringa,Melanoleuca,"",816,"",Water birds
Willet,"","",X,"","",willet,http://www.allaboutbirds.org/guide/willet/id,ABNNF02010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNF02010,"Plovers, Sandpipers, and Allies",Charadriiformes,Sandpipers,Scolopacidae,Tringa,Semipalmata,"Greater Yellowlegs, Long-billed Dowitcher, Marbled Godwit, American Avocet",2171,"",Water birds
Solitary Sandpiper,"","","",X,"",solitary_sandpiper,http://www.allaboutbirds.org/guide/solitary_sandpiper/id,ABNNF01070,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNF01070,"Plovers, Sandpipers, and Allies",Charadriiformes,Sandpipers,Scolopacidae,Tringa,Solitaria,"",410,"",Water birds
Belted Kingfisher,X,"",X,"","",belted_kingfisher,http://www.allaboutbirds.org/guide/belted_kingfisher/id,ABNXD01020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNXD01020,Kingfishers and Allies,Coraciiformes,Kingfishers,Alcedinidae,Megaceryle,Alcyon,Blue Jay,2888,"",Water birds
Cooper's Hawk,X,"",X,"","",coopers_hawk,http://www.allaboutbirds.org/guide/coopers_hawk/id,ABNKC12040,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNKC12040,"Hawks, Kites, Eagles, and Allies",Accipitriformes,Hawks / Kites / Eagles,Accipitridae,Accipiter,Cooperii,"Sharp-shinned Hawk, Red-tailed Hawk, Northern Goshawk, Northern Harrier, Merlin, Peregrine Falcon, Red-shouldered Hawk, Broad-winged Hawk",1233,"",Raptors
Northern Goshawk,X,"",X,"","",northern_goshawk,http://www.allaboutbirds.org/guide/northern_goshawk/id,ABNKC12060,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNKC12060,"Hawks, Kites, Eagles, and Allies",Accipitriformes,Hawks / Kites / Eagles,Accipitridae,Accipiter,Gentilis,Gyrfalcon,2533,"",Raptors
Sharp-shinned Hawk,X,"",X,"","",sharp-shinned_hawk,http://www.allaboutbirds.org/guide/sharp-shinned_hawk/id,ABNKC12020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNKC12020,"Hawks, Kites, Eagles, and Allies",Accipitriformes,Hawks / Kites / Eagles,Accipitridae,Accipiter,Striatus,"Cooper's Hawk, Merlin",1496,"",Raptors
Golden Eagle,X,"",X,"","",golden_eagle,http://www.allaboutbirds.org/guide/golden_eagle/id,ABNKC22010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNKC22010,"Hawks, Kites, Eagles, and Allies",Accipitriformes,Hawks / Kites / Eagles,Accipitridae,Aquila,Chrysaetos,"Ferruginous Hawk, Turkey Vulture, Bald Eagle",6657,"",Raptors
Red-tailed Hawk,X,"",X,"","",red-tailed_hawk,http://www.allaboutbirds.org/guide/red-tailed_hawk/id,ABNKC19110,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNKC19110,"Hawks, Kites, Eagles, and Allies",Accipitriformes,Hawks / Kites / Eagles,Accipitridae,Buteo,Jamaicensis,"Red-shouldered Hawk, Swainson's Hawk, Cooper's Hawk, Rough-legged Hawk, Ferruginous Hawk, Broad-winged Hawk, Northern Goshawk, Northern Harrier",7788,"",Raptors
Rough-legged Hawk,X,"","","",X,rough-legged_hawk,http://www.allaboutbirds.org/guide/rough-legged_hawk/id,ABNKC19130,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNKC19130,"Hawks, Kites, Eagles, and Allies",Accipitriformes,Hawks / Kites / Eagles,Accipitridae,Buteo,Lagopus,"",3043,"",Raptors
Red-shouldered Hawk,"","","","",X,red-shouldered_hawk,http://www.allaboutbirds.org/guide/red-shouldered_hawk/id,ABNKC19030,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNKC19030,"Hawks, Kites, Eagles, and Allies",Accipitriformes,Hawks / Kites / Eagles,Accipitridae,Buteo,Lineatus,"Red-tailed Hawk, Broad-winged Hawk, Cooper's Hawk, Sharp-shinned Hawk",5,X,Raptors
Broad-winged Hawk,"","","","",X,broad-winged_hawk,http://www.allaboutbirds.org/guide/broad-winged_hawk/id,ABNKC19050,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNKC19050,"Hawks, Kites, Eagles, and Allies",Accipitriformes,Hawks / Kites / Eagles,Accipitridae,Buteo,Platypterus,"",74,"",Raptors
Ferruginous Hawk,X,"",X,"","",ferruginous_hawk,http://www.allaboutbirds.org/guide/ferruginous_hawk/id,ABNKC19120,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNKC19120,"Hawks, Kites, Eagles, and Allies",Accipitriformes,Hawks / Kites / Eagles,Accipitridae,Buteo,Regalis,"Red-tailed Hawk, Rough-legged Hawk",2708,"",Raptors
Swainson's Hawk,"",X,X,"","",swainsons_hawk,http://www.allaboutbirds.org/guide/swainsons_hawk/id,ABNKC19070,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNKC19070,"Hawks, Kites, Eagles, and Allies",Accipitriformes,Hawks / Kites / Eagles,Accipitridae,Buteo,Swainsoni,"Red-tailed Hawk, Rough-legged Hawk, Ferruginous Hawk",2118,"",Raptors
Northern Harrier,X,"",X,"","",northern_harrier,http://www.allaboutbirds.org/guide/northern_harrier/id,ABNKC11010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNKC11010,"Hawks, Kites, Eagles, and Allies",Accipitriformes,Hawks / Kites / Eagles,Accipitridae,Circus,Cyaneus,"Rough-legged Hawk, Short-eared Owl, Cooper's Hawk",5198,"",Raptors
White-tailed Kite,"","","","",X,white-tailed_kite,http://www.allaboutbirds.org/guide/white-tailed_kite/id,ABNKC06010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNKC06010,"Hawks, Kites, Eagles, and Allies",Accipitriformes,Hawks / Kites / Eagles,Accipitridae,Elanus,Leucurus,Mississippi Kite,3,X,Raptors
Bald Eagle,X,"",X,"","",bald_eagle,http://www.allaboutbirds.org/guide/bald_eagle/id,ABNKC10010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNKC10010,"Hawks, Kites, Eagles, and Allies",Accipitriformes,Hawks / Kites / Eagles,Accipitridae,Haliaeetus,Leucocephalus,"Golden Eagle, Red-tailed Hawk, Turkey Vulture",15977,"",Raptors
Mississippi Kite,"","","","",X,mississippi_kite,http://www.allaboutbirds.org/guide/mississippi_kite/id,ABNKC09010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNKC09010,"Hawks, Kites, Eagles, and Allies",Accipitriformes,Hawks / Kites / Eagles,Accipitridae,Ictinia,Mississippiensis,White-tailed Kite,2,X,Raptors
Osprey,"",X,X,"","",osprey,http://www.allaboutbirds.org/guide/osprey/id,ABNKC01010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNKC01010,"Hawks, Kites, Eagles, and Allies",Accipitriformes,Osprey,Pandionidae,Pandion,Haliaetus,"Bald Eagle, Red-tailed Hawk, Turkey Vulture",4014,"",Raptors
Turkey Vulture,"",X,X,"","",turkey_vulture,http://www.allaboutbirds.org/guide/turkey_vulture/id,ABNKA02010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNKA02010,"Hawks, Kites, Eagles, and Allies",Accipitriformes,Vultures,Cathartidae,Cathartes,Aura,"Golden Eagle, Red-tailed Hawk",1948,"",Raptors
Crested Caracara,"","","","",X,crested_caracara,http://www.allaboutbirds.org/guide/crested_caracara/id,ABNKD02020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNKD02020,Caracaras and Falcons,Falconiformes,Falcons,Falconidae,Caracara,Cheriway,"",1,X,Raptors
Merlin,X,"",X,"","",merlin,http://www.allaboutbirds.org/guide/merlin/id,ABNKD06030,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNKD06030,Caracaras and Falcons,Falconiformes,Falcons,Falconidae,Falco,Columbarius,"American Kestrel, Prairie Falcon, Sharp-shinned Hawk",1489,"",Raptors
Prairie Falcon,X,"",X,"","",prairie_falcon,http://www.allaboutbirds.org/guide/prairie_falcon/id,ABNKD06090,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNKD06090,Caracaras and Falcons,Falconiformes,Falcons,Falconidae,Falco,Mexicanus,"",2530,"",Raptors
Peregrine Falcon,X,"",X,"","",peregrine_falcon,http://www.allaboutbirds.org/guide/peregrine_falcon/id,ABNKD06070,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNKD06070,Caracaras and Falcons,Falconiformes,Falcons,Falconidae,Falco,Peregrinus,"Gyrfalcon, Prairie Falcon, American Kestrel, Merlin",1608,"",Raptors
Gyrfalcon,X,"","","",X,gyrfalcon,http://www.allaboutbirds.org/guide/gyrfalcon/id,ABNKD06080,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNKD06080,Caracaras and Falcons,Falconiformes,Falcons,Falconidae,Falco,Rusticolus,"Peregrine Falcon, Prairie Falcon",269,"",Raptors
American Kestrel,X,"",X,"","",american_kestrel,http://www.allaboutbirds.org/guide/american_kestrel/id,ABNKD06020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNKD06020,Caracaras and Falcons,Falconiformes,Falcons,Falconidae,Falco,Sparverius,"Sharp-shinned Hawk, Merlin",5035,"",Raptors
Barn Owl,"",X,X,"","",barn_owl,http://www.allaboutbirds.org/guide/barn_owl/id,ABNSA01010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNSA01010,Owls,Strigiformes,Barn Owl,Tytonidae,Tyto,Alba,"Short-eared Owl, Snowy Owl, Great Horned Owl, Long-eared Owl",68,"",Owls & Nightjars
Northern Saw-whet Owl,X,"",X,"","",northern_saw-whet_owl,http://www.allaboutbirds.org/guide/northern_saw-whet_owl/id,ABNSB15020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNSB15020,Owls,Strigiformes,Owls,Strigidae,Aegolius,Acadicus,"Boreal Owl, Eastern Screech-Owl, Western Screech-Owl, Barred Owl",546,"",Owls & Nightjars
Boreal Owl,X,"",X,"","",boreal_owl,http://www.allaboutbirds.org/guide/boreal_owl/id,ABNSB15010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNSB15010,Owls,Strigiformes,Owls,Strigidae,Aegolius,Funereus,"",412,"",Owls & Nightjars
Short-eared Owl,X,"",X,"","",short-eared_owl,http://www.allaboutbirds.org/guide/short-eared_owl/id,ABNSB13040,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNSB13040,Owls,Strigiformes,Owls,Strigidae,Asio,Flammeus,Long-eared Owl,1428,"",Owls & Nightjars
Long-eared Owl,X,"",X,"","",long-eared_owl,http://www.allaboutbirds.org/guide/long-eared_owl/id,ABNSB13010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNSB13010,Owls,Strigiformes,Owls,Strigidae,Asio,Otus,"Great Horned Owl, Short-eared Owl",951,"",Owls & Nightjars
Burrowing Owl,"",X,X,"","",burrowing_owl,http://www.allaboutbirds.org/guide/burrowing_owl/id,ABNSB10010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNSB10010,Owls,Strigiformes,Owls,Strigidae,Athene,Cunicularia,Short-eared Owl,3184,"",Owls & Nightjars
Snowy Owl,X,"","","",X,snowy_owl,http://www.allaboutbirds.org/guide/snowy_owl/id,ABNSB06010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNSB06010,Owls,Strigiformes,Owls,Strigidae,Bubo,Scandiacus,"Barn Owl, Gyrfalcon, Red-tailed Hawk",555,"",Owls & Nightjars
Great Horned Owl,X,"",X,"","",great_horned_owl,http://www.allaboutbirds.org/guide/great_horned_owl/id,ABNSB05010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNSB05010,Owls,Strigiformes,Owls,Strigidae,Bubo,Virginianus,"Long-eared Owl, Barred Owl",2933,"",Owls & Nightjars
Northern Pygmy-Owl,X,"",X,"","",northern_pygmy-owl,http://www.allaboutbirds.org/guide/northern_pygmy-owl/id,ABNSB08010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNSB08010,Owls,Strigiformes,Owls,Strigidae,Glaucidium,Gnoma,"",626,"",Owls & Nightjars
Eastern Screech-Owl,X,"",X,"","",eastern_screech-owl,http://www.allaboutbirds.org/guide/eastern_screech-owl/id,ABNSB01030,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNSB01030,Owls,Strigiformes,Owls,Strigidae,Megascops,Asio,"Western Screech-Owl, Northern Saw-whet Owl",137,"",Owls & Nightjars
Western Screech-Owl,"",X,X,"","",western_screech-owl,http://www.allaboutbirds.org/guide/western_screech-owl/id,ABNSB01040,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNSB01040,Owls,Strigiformes,Owls,Strigidae,Megascops,Kennicottii,"",133,"",Owls & Nightjars
Flammulated Owl,"",X,X,"","",flammulated_owl,http://www.allaboutbirds.org/guide/flammulated_owl/id,ABNSB01020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNSB01020,Owls,Strigiformes,Owls,Strigidae,Psiloscops,Flammeolus,"",894,"",Owls & Nightjars
